Rank,State,Index,Grocery,Housing,Utilities,Transportation,Health,Misc.
1,Mississippi,84.5,91.9,68.5,88.5,92.6,99.5,91.2
2,Oklahoma,86.7,94.7,72.4,95,91.4,91.5,92.2
3,Alabama,87.1,98.2,68.2,100.2,88.1,89.5,95.2
4,Kansas,87.3,94.3,72,98.7,96.3,101.1,91
5,Iowa,88.2,98,70.6,95.5,95.4,98.9,94.9
6,Georgia,88.9,96.4,77.7,90,89.4,96.5,94.8
7,Ohio,89.4,100.8,71.1,92.4,95.6,94.4,98.5
8,West Virginia,89.8,96.3,76.9,91.7,104.7,97.1,94
9,Missouri,90.1,96.8,80.4,94.2,97.8,91.2,92.8
10,Indiana,90.2,94.5,76.8,107.6,94.8,97.5,93.3
11,Tennessee,90.3,94.4,84,94.7,91.2,87.8,93.3
12,Arkansas,90.7,92.5,78.4,100.1,89.7,84.2,100.6
13,Nebraska,91.1,96.9,81.6,88.8,102.1,99.3,94.2
14,Wyoming,91.66,101.4,80.4,81.7,96.4,98.2,98.6
15,Michigan,91.7,92.3,82.1,98.2,98.5,95.8,96.8
16,Illinois,91.9,100.5,81.7,94.6,104.3,96,92.8
17,Texas,92.6,91,84.8,105.9,91.9,94.8,96.8
18,Kentucky,92.8,92.5,75.7,105.4,105.9,77,105.4
19,Louisiana,93.5,98.8,85.2,88.3,96,100.4,99.2
20,New Mexico,93.8,96.8,87.3,88.4,101,103,97.4
21,Wisconsin,93.9,97,84.4,105.6,95.2,110.1,95.3
22,Minnesota,95.1,97.4,83.5,95.6,100.8,109,102.2
23,South Dakota,96.1,100.4,99.6,91.9,89.5,98.6,92.6
24,South Carolina,96.3,101.4,89.5,108.6,88,96.8,98.3
25,North Carolina,96.9,98.4,94,93.2,90.4,110.9,99.9
26,North Dakota,97.4,103.5,88.2,104.7,101.5,110.5,98.2
27,Pennsylvania,98.2,102.9,89.4,104.4,106.1,100.1,100.1
28,Idaho,98.9,95.6,102.3,79.2,114.8,93,100.7
29,Puerto Rico,100.6,118.6,86.3,155.6,84.9,73.7,94
30,Nevada,101.9,104.6,112.9,98.3,112.2,93.4,89
31,Utah,102,99.5,105,92.1,110.3,93.5,103
32,Virginia,102.1,96.3,108.3,100.1,94.1,102.7,101.4
33,Florida,104.5,106.4,112.2,99,97.7,98,100.2
34,Colorado,105.2,100.8,115.7,83.9,112.2,97.9,104.2
35,Montana,105.3,100.8,115.7,83.9,111.2,97.9,104.2
36,Delaware,105.4,106.4,103.7,94.1,117.5,109.6,106.8
37,Arizona,108,101.8,127.2,99.4,101.3,92.4,98.7
38,Rhode Island,111.2,96.3,113.8,123.5,110.8,101.6,114.3
39,New Jersey,114,107,133.5,106.4,111.4,96.5,103.7
40,Washington,114,107,133.5,106.4,111.4,96.5,103.7
41,Maine,114.5,103.2,119.8,113.7,111.5,128.7,127.4
42,New Hampshire,114.7,104.6,107.4,113.7,111.5,128.7,127.4
43,Connecticut,115.4,99.1,121.5,127.3,112.1,108.1,116.4
44,Vermont,116.4,106.8,129.5,122,121.3,109.6,106.3
45,Oregon,122.2,106.4,156.1,91.3,125.1,109.2,108
46,Maryland,124.1,112.2,157,106.9,103,94.4,112.4
47,Alaska,125.5,131.8,120,138.4,121,151.7,120.5
48,New York,135.7,109.2,194.1,100.6,105.6,103.1,114.9
49,California,138.7,112.3,194,122.4,124.4,109.7,110
50,Massachusetts,149.9,113,217.3,121.2,134,113.8,120.6
51,District of Columbia,153.4,105.2,243.9,118.4,109.7,94.8,118.9
52,Hawaii,186,148.5,307,134.6,128.3,120.3,124.1